Morphology: 
 
Verbs: 
singular, first, present, indicative: gghugh
singular, first, present, subjunctive: thvehng
singular, first, present, optative: ghung
singular, first, present, imperative: hngey
singular, first, preterite, indicative: zuhng
singular, first, preterite, subjunctive: kugh
singular, first, preterite, optative: muz
singular, first, preterite, imperative: hnguhng
singular, first, imperfect, indicative: zev
singular, first, imperfect, subjunctive: hum
singular, first, imperfect, optative: hez
singular, first, imperfect, imperative: meh
singular, first, future, indicative: vehng
singular, first, future, subjunctive: hnguz
singular, first, future, optative: ghuv
singular, first, future, imperative: ey
singular, first, perfect, indicative: uh
singular, first, perfect, subjunctive: Gwey
singular, first, perfect, optative: weh
singular, first, perfect, imperative: zeng
singular, second, present, indicative: 'ngeng
singular, second, present, subjunctive: uv
singular, second, present, optative: ghew
singular, second, present, imperative: ung
singular, second, preterite, indicative: mem
singular, second, preterite, subjunctive: ngeh
singular, second, preterite, optative: ghegh
singular, second, preterite, imperative: hngung
singular, second, imperfect, indicative: vev
singular, second, imperfect, subjunctive: suhng
singular, second, imperfect, optative: hngugh
singular, second, imperfect, imperative: wem
singular, second, future, indicative: ez
singular, second, future, subjunctive: veng
singular, second, future, optative: yus
singular, second, future, imperative: wus
singular, second, perfect, indicative: eng
singular, second, perfect, subjunctive: zuv
singular, second, perfect, optative: gheh
singular, second, perfect, imperative: hes
singular, third, present, indicative: wez
singular, third, present, subjunctive: zuy
singular, third, present, optative: mus
singular, third, present, imperative: yuh
singular, third, preterite, indicative: zus
singular, third, preterite, subjunctive: vus
singular, third, preterite, optative: suy
singular, third, preterite, imperative: thuh
singular, third, imperfect, indicative: kwegh
singular, third, imperfect, subjunctive: um
singular, third, imperfect, optative: hugh
singular, third, imperfect, imperative: eh
singular, third, future, indicative: nguy
singular, third, future, subjunctive: dhez
singular, third, future, optative: yuy
singular, third, future, imperative: sev
singular, third, perfect, indicative: dzehng
singular, third, perfect, subjunctive: hngeng
singular, third, perfect, optative: suh
singular, third, perfect, imperative: wev
dual, first, present, indicative: yes
dual, first, present, subjunctive: ges
dual, first, present, optative: vez
dual, first, present, imperative: wes
dual, first, preterite, indicative: us
dual, first, preterite, subjunctive: sum
dual, first, preterite, optative: sey
dual, first, preterite, imperative: wuv
dual, first, imperfect, indicative: em
dual, first, imperfect, subjunctive: khseng
dual, first, imperfect, optative: hngez
dual, first, imperfect, imperative: vung
dual, first, future, indicative: hngev
dual, first, future, subjunctive: hnguh
dual, first, future, optative: thyung
dual, first, future, imperative: yeh
dual, first, perfect, indicative: zey
dual, first, perfect, subjunctive: wew
dual, first, perfect, optative: zuz
dual, first, perfect, imperative: duhng
dual, second, present, indicative: heh
dual, second, present, subjunctive: ves
dual, second, present, optative: hey
dual, second, present, imperative: hngum
dual, second, preterite, indicative: yuz
dual, second, preterite, subjunctive: ghez
dual, second, preterite, optative: hehng
dual, second, preterite, imperative: hem
dual, second, imperfect, indicative: zes
dual, second, imperfect, subjunctive: ngegh
dual, second, imperfect, optative: es
